" 3D Run ID","Phase_Z","1D Results\Mode Frequencies\Mode 1","1D Results\Mode Frequencies\Mode 2","1D Results\Mode Frequencies\Mode 3","1D Results\Mode Frequencies\Mode 4"
"1","160","172.417","180.939","203.817","208.642"
"2","162","174.23","182.587","205.301","208.067"
"3","164","176.028","184.229","206.4","206.786"
"4","166","177.803","185.859","204.737","208.263"
"5","168","179.551","187.472","203.099","208.333"
"6","170","181.259","189.054","201.507","206.704"
"7","172","182.905","190.577","200.003","205.091"
"8","174","184.449","191.974","198.683","203.511"
"9","176","185.809","193.068","197.772","201.997"
"10","178","186.819","193.565","197.623","200.656"
"11","180","187.212","193.611","197.883","199.962"
"12","182","186.819","193.565","197.623","200.656"
"13","184","185.809","193.068","197.772","201.997"
"14","186","184.449","191.974","198.683","203.511"
"15","188","182.905","190.577","200.003","205.091"
"16","190","181.259","189.054","201.507","206.704"
"17","192","179.551","187.472","203.099","208.333"
"18","194","177.803","185.859","204.737","208.263"
"19","196","176.028","184.229","206.4","206.786"
"20","198","174.23","182.587","205.301","208.067"
"21","200","172.417","180.939","203.817","208.642"
"22","175","185.159","192.577","198.154","202.742"
"23","175.333","185.384","192.756","198.007","202.49"
"24","175.667","185.6","192.92","197.879","202.242"
"25","176.333","186.008","193.199","197.687","201.756"
"26","176.667","186.196","193.31","197.626","201.521"
"27","177","186.373","193.402","197.59","201.291"
"28","177.333","186.536","193.474","197.579","201.069"
"29","177.667","186.686","193.527","197.591","200.857"
"30","178.333","186.935","193.588","197.67","200.47"
"31","178.667","187.033","193.602","197.726","200.304"
"32","179","187.11","193.608","197.784","200.164"
"33","179.333","187.166","193.611","197.835","200.055"
"34","179.667","187.2","193.611","197.87","199.986"
"35","180.333","187.2","193.611","197.87","199.986"
"36","180.667","187.166","193.611","197.835","200.055"
"37","181","187.11","193.608","197.784","200.164"
"38","181.333","187.033","193.602","197.726","200.304"
"39","181.667","186.935","193.588","197.67","200.47"
"40","182.333","186.686","193.527","197.591","200.857"
"41","182.667","186.536","193.474","197.579","201.069"
"42","183","186.373","193.402","197.59","201.291"
"43","183.333","186.196","193.31","197.626","201.521"
"44","183.667","186.008","193.199","197.687","201.756"
"45","184.333","185.6","192.92","197.879","202.242"
"46","184.667","185.384","192.756","198.007","202.49"
"47","185","185.159","192.577","198.154","202.742"
"0","","185.159","192.577","198.154","202.742"
